No.,级别,语法项目,类别,细目,语法内容
104,二级,句子的类型,特殊句型,存现句,"存现句1：表示存在 
（1）处所+有+数量短语+名词（见“‘有’字句1-（2）”） 
（2）处所+动词+着（+数量短语）+名词"
105,二级,句子的类型,特殊句型,连动句,连动句1：表示前后动作先后发生
106,二级,句子的类型,特殊句型,比较句,"比较句2： 
（1）A比B +形容词+数量补语（2）A比B +更/还+形容词（3）A不如B（+形容词）（4）A有B（+这么/那么）+形容词"
107,二级,句子的类型,特殊句型,比较句,比较句3：（1）A跟B一样/相同（2）A跟B一样+形容词
108,二级,句子的类型,特殊句型,“是……的”句,“是……的”句1：强调时间、地点、方式、动作者
109,二级,句子的类型,特殊句型,双宾语句,"（1）主语+动词+宾语1+宾语2 
（2）主语+动词+给+宾语1+宾语2"
110,二级,句子的类型,复句,承接复句,（1）不用关联词语（2）用关联词语：先……，再/然后……
111,二级,句子的类型,复句,递进复句,（1）不用关联词语（2）用关联词语：……，更/还……；不但……，而且……
112,二级,句子的类型,复句,选择复句,（1）不用关联词语（2）用关联词语：（是）……，还是……
113,二级,句子的类型,复句,转折复句,（1）不用关联词语（2）用关联词语：虽然……，但是/可是……；……，不过……
114,二级,句子的类型,复句,假设复句,（1）不用关联词语（2）用关联词语：如果……，就……；……的话，就……
115,二级,句子的类型,复句,条件复句,只要……，就……
116,二级,句子的类型,复句,因果复句,（1）不用关联词语（2）用关联词语：因为……，所以……
117,二级,句子的类型,复句,紧缩复句,一……就……
118,二级,动作的态,动作的态,持续态,"动词+着 
（1）表示状态的持续（2）表示动作的持续"
119,二级,动作的态,动作的态,经历态,用动态助词“过”表示
120,二级,特殊表达法,数的表示法,序数表示法,
121,二级,特殊表达法,数的表示法,"概数表示法1： 
（1）数词+多+量词（2）数词+量词+多",
122,二级,强调的方法,用“就”表示强调,,"※“是……的”表示强调 (见【二60】“‘是......的’ 句1”和【四42 】“‘是......的’句2"")"
123,二级,提问的方法,用“好吗/可以吗/行吗/怎么样”提问,,
124,二级,提问的方法,用“什么时候、什么样、为什么、怎么样、怎样”提问,,
125,二级,提问的方法,用“呢”构成的省略式疑问句“代词/名词+呢？”提问,,
126,二级,提问的方法,用“是不是”提问,,
127,二级,提问的方法,用“吧”提问,,
